# cmd: kubectl get events -A
# at: 2026-09-17T05:14:26Z

NAMESPACE            LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
default              18m         Normal    Created                   pod/nginx-6559559688-tlcvs                                  Created container nginx
default              18m         Normal    Started                   pod/nginx-6559559688-tlcvs                                  Started container nginx
default              11m         Normal    Updated                   podnetworkchaos/nginx-6559559688-tlcvs                      Successfully update ObservedGeneration and FailedMessage of resource
default              18m         Normal    SuccessfulCreate          replicaset/nginx-6559559688                                 Created pod: nginx-6559559688-mvlcx
default              18m         Normal    SuccessfulCreate          replicaset/nginx-6559559688                                 Created pod: nginx-6559559688-ggv7d
default              18m         Normal    SuccessfulCreate          replicaset/nginx-6559559688                                 Created pod: nginx-6559559688-tlcvs
default              11m         Normal    FinalizerInited           networkchaos/nginx-delay                                    Finalizer has been inited
default              11m         Normal    Updated                   networkchaos/nginx-delay                                    Successfully update finalizer of resource
default              11m         Normal    Started                   networkchaos/nginx-delay                                    Experiment has started
default              11m         Normal    Updated                   networkchaos/nginx-delay                                    Successfully update desiredPhase of resource
default              11m         Normal    Updated                   networkchaos/nginx-delay                                    Successfully update records of resource
default              11m         Normal    Applied                   networkchaos/nginx-delay                                    Successfully apply chaos for default/nginx-6559559688-mvlcx
default              11m         Normal    Updated                   networkchaos/nginx-delay                                    Successfully update records of resource
default              11m         Normal    Applied                   networkchaos/nginx-delay                                    Successfully apply chaos for default/nginx-6559559688-tlcvs
default              11m         Normal    Updated                   networkchaos/nginx-delay                                    Successfully update records of resource
default              11m         Normal    Applied                   networkchaos/nginx-delay                                    Successfully apply chaos for default/nginx-6559559688-ggv7d
default              11m         Normal    Updated                   networkchaos/nginx-delay                                    Successfully update records of resource
default              18m         Normal    ScalingReplicaSet         deployment/nginx                                            Scaled up replica set nginx-6559559688 to 3
kube-system          39h         Normal    SandboxChanged            pod/coredns-6f6b679f8f-rz7lk                                Pod sandbox changed, it will be killed and re-created.
kube-system          39h         Normal    Pulled                    pod/coredns-6f6b679f8f-rz7lk                                Container image "registry.k8s.io/coredns/coredns:v1.11.1" already present on machine
kube-system          39h         Normal    Created                   pod/coredns-6f6b679f8f-rz7lk                                Created container coredns
kube-system          39h         Normal    Started                   pod/coredns-6f6b679f8f-rz7lk                                Started container coredns
kube-system          39h         Warning   Unhealthy                 pod/coredns-6f6b679f8f-rz7lk                                Readiness probe failed: HTTP probe failed with statuscode: 503
kube-system          40m         Normal    SandboxChanged            pod/coredns-6f6b679f8f-rz7lk                                Pod sandbox changed, it will be killed and re-created.
kube-system          40m         Normal    Pulled                    pod/coredns-6f6b679f8f-rz7lk                                Container image "registry.k8s.io/coredns/coredns:v1.11.1" already present on machine
kube-system          40m         Normal    Created                   pod/coredns-6f6b679f8f-rz7lk                                Created container coredns
kube-system          40m         Normal    Started                   pod/coredns-6f6b679f8f-rz7lk                                Started container coredns
kube-system          40m         Warning   Unhealthy                 pod/coredns-6f6b679f8f-rz7lk                                Readiness probe failed: HTTP probe failed with statuscode: 503
kube-system          39h         Normal    SandboxChanged            pod/coredns-6f6b679f8f-zflbh                                Pod sandbox changed, it will be killed and re-created.
kube-system          39h         Normal    Pulled                    pod/coredns-6f6b679f8f-zflbh                                Container image "registry.k8s.io/coredns/coredns:v1.11.1" already present on machine
kube-system          39h         Normal    Created                   pod/coredns-6f6b679f8f-zflbh                                Created container coredns
kube-system          39h         Normal    Started                   pod/coredns-6f6b679f8f-zflbh                                Started container coredns
kube-system          39h         Warning   Unhealthy                 pod/coredns-6f6b679f8f-zflbh                                Readiness probe failed: HTTP probe failed with statuscode: 503
kube-system          40m         Normal    SandboxChanged            pod/coredns-6f6b679f8f-zflbh                                Pod sandbox changed, it will be killed and re-created.
kube-system          40m         Normal    Pulled                    pod/coredns-6f6b679f8f-zflbh                                Container image "registry.k8s.io/coredns/coredns:v1.11.1" already present on machine
kube-system          40m         Normal    Created                   pod/coredns-6f6b679f8f-zflbh                                Created container coredns
kube-system          40m         Normal    Started                   pod/coredns-6f6b679f8f-zflbh                                Started container coredns
kube-system          39m         Warning   Unhealthy                 pod/coredns-6f6b679f8f-zflbh                                Readiness probe failed: HTTP probe failed with statuscode: 503
kube-system          39h         Normal    SandboxChanged            pod/etcd-chaos-control-plane                                Pod sandbox changed, it will be killed and re-created.
kube-system          39h         Normal    Pulled                    pod/etcd-chaos-control-plane                                Container image "registry.k8s.io/etcd:3.5.15-0" already present on machine
kube-system          39h         Normal    Created                   pod/etcd-chaos-control-plane                                Created container etcd
kube-system          39h         Normal    Started                   pod/etcd-chaos-control-plane                                Started container etcd
kube-system          40m         Normal    SandboxChanged            pod/etcd-chaos-control-plane                                Pod sandbox changed, it will be killed and re-created.
kube-system          40m         Normal    Pulled                    pod/etcd-chaos-control-plane                                Container image "registry.k8s.io/etcd:3.5.15-0" already present on machine
